#ZSP	IVOO	VIOO	ZCN	VEE	VIU	ZAG	VBG	VBU	HEP
32.599998	108.120003	119.540001	20.290001	28.790001	23.91	15.79	26.620001	24.889999	25.26
32.779999	108.339996	120.050003	20.41	29.23	24	15.8	26.690001	24.889999	25.4
32.889999	108.879997	120.519997	20.379999	29.030001	24.049999	15.8	26.59	24.83	24.200001
32.970001	109.730003	122.139999	20.389999	29.02	24.030001	15.79	26.719999	24.83	24.24
33.049999	110.209999	122.919998	20.41	29.33	24.35	15.78	26.620001	24.83	24.450001
32.669998	110.510002	123.360001	20.290001	29.16	24	15.79	26.66	24.91	25.030001
32.77	109.730003	121.940002	20.290001	29.200001	24.040001	15.8	26.68	24.92	24.969999
32.720001	109.940002	121.849998	20.41	29.26	23.98	15.76	26.700001	24.84	24.459999
32.299999	109.779999	121.629997	20.33	28.690001	23.610001	15.68	26.5	24.719999	24.24
32.209999	109.410004	121.040001	20.370001	28.58	23.75	15.71	26.549999	24.82	25
32.380001	109.5	121.099998	20.42	28.709999	23.82	15.7	26.6	24.82	24.84
32.509998	110.68	123.260002	20.469999	28.91	24.07	15.71	26.6	24.84	24.700001
32.810001	111.800003	124.550003	20.620001	29.219999	24.33	15.73	26.6	24.9	25.030001
32.779999	113.059998	125.93	20.709999	29.219999	24.25	15.69	26.6	24.84	24.889999
32.939999	114.349998	127.989998	20.73	29.1	24.209999	15.6	26.530001	24.77	24.110001
32.799999	114.110001	128.309998	20.709999	28.75	24.120001	15.58	26.450001	24.75	24.200001
33.029999	113.419998	126.93	20.85	29.01	24.440001	15.58	26.58	24.77	24.59
33.099998	113.709999	127	20.620001	28.5	24.299999	15.57	26.530001	24.58	23.5
33.419998	112.220001	125.440002	20.629999	28.809999	24.33	15.53	26.58	24.620001	22.469999
33.349998	112.709999	126.639999	20.66	28.559999	24.379999	15.53	26.610001	24.620001	22.700001
33.57	112.449997	125.980003	20.690001	28.559999	24.49	15.58	26.67	24.709999	22.809999
33.580002	113.139999	126.68	20.73	28.5	24.43	15.57	26.639999	24.690001	22.76
33.639999	113.199997	127.93	20.74	28.49	24.51	15.58	26.639999	24.73	22.85
33.779999	112.739998	127.269997	20.780001	28.4	24.639999	15.55	26.629999	24.709999	22.790001
33.709999	112.099998	124.809998	20.639999	28.629999	24.76	15.56	26.629999	24.68	23.200001
