#SPY	QQQ	XLF	XLE	XLV	XLP	XLRE	VIG	AGG	GLD
4.176279296875000000e+02	3.542149353027343750e+02	3.223445892333984375e+01	8.535569763183593750e+01	1.251630554199218750e+02	6.563071441650390625e+01	3.210269165039062500e+01	1.503370971679687500e+02	8.819064331054687500e+01	1.714499969482421875e+02
4.100028991699218750e+02	3.474008483886718750e+02	3.158788490295410156e+01	8.103895568847656250e+01	1.215764007568359375e+02	6.516324615478515625e+01	3.143736648559570312e+01	1.488661804199218750e+02	8.680136108398437500e+01	1.840899963378906250e+02
4.474541015625000000e+02	3.849855041503906250e+02	3.504341506958007812e+01	8.045866394042968750e+01	1.281852874755859375e+02	6.785198211669921875e+01	3.535990905761718750e+01	1.599800872802734375e+02	9.076372528076171875e+01	1.887500000000000000e+02
4.659934997558593750e+02	4.054709472656250000e+02	3.670285034179687500e+01	7.975471496582031250e+01	1.331346435546875000e+02	6.916752624511718750e+01	3.804775619506835938e+01	1.656877746582031250e+02	9.386463928222656250e+01	1.911699981689453125e+02
4.753345031738281250e+02	4.138895263671875000e+02	3.802248764038085938e+01	8.010779571533203125e+01	1.376530303955078125e+02	7.055298614501953125e+01	3.659991836547851562e+01	1.686357421875000000e+02	9.426042938232421875e+01	1.884499969482421875e+02
5.001407165527343750e+02	4.357567749023437500e+02	3.957242202758789062e+01	8.272970581054687500e+01	1.420067749023437500e+02	7.203332519531250000e+01	3.754059219360351562e+01	1.743941192626953125e+02	9.259587860107421875e+01	1.893099975585937500e+02
5.148964843750000000e+02	4.407297668457031250e+02	4.131855392456054688e+01	9.067231750488281250e+01	1.448602294921875000e+02	7.388133239746093750e+01	3.794373703002929688e+01	1.785296020507812500e+02	9.343331909179687500e+01	2.057200012207031250e+02
4.956713256835937500e+02	4.220104980468750000e+02	3.974111175537109375e+01	9.054338836669921875e+01	1.381008758544921875e+02	7.358705139160156250e+01	3.497426986694335938e+01	1.718804321289062500e+02	9.111570739746093750e+01	2.118699951171875000e+02
5.207422485351562500e+02	4.479718017578125000e+02	4.100148010253906250e+01	9.023358154296875000e+01	1.414173583984375000e+02	7.538042449951171875e+01	3.677178955078125000e+01	1.776042022705078125e+02	9.262422943115234375e+01	2.153000030517578125e+02
5.373804321289062500e+02	4.761992492675781250e+02	4.047961044311523438e+01	8.824882507324218750e+01	1.434347686767578125e+02	7.463968658447265625e+01	3.711969757080078125e+01	1.792241668701171875e+02	9.344149780273437500e+01	2.150099945068359375e+02
5.456423339843750000e+02	4.689523010253906250e+02	4.323981475830078125e+01	9.096796417236328125e+01	1.478301391601562500e+02	7.645036315917968750e+01	4.021071243286132812e+01	1.872486724853515625e+02	9.570468902587890625e+01	2.265500030517578125e+02
5.583914794921875000e+02	4.741289062500000000e+02	4.521694183349609375e+01	8.908438110351562500e+01	1.553090820312500000e+02	8.102658843994140625e+01	4.251460266113281250e+01	1.934643096923828125e+02	9.710663604736328125e+01	2.312899932861328125e+02
5.683770141601562500e+02	4.858758850097656250e+02	4.480174255371093750e+01	8.568809509277343750e+01	1.521673278808593750e+02	8.150777435302734375e+01	4.360797500610351562e+01	1.954079284667968750e+02	9.839646148681640625e+01	2.430599975585937500e+02
5.650328979492187500e+02	4.823517456054687500e+02	4.611512374877929688e+01	8.717308807373046875e+01	1.456445312500000000e+02	7.909766387939453125e+01	4.246853256225585938e+01	1.924006500244140625e+02	9.562733459472656250e+01	2.535099945068359375e+02
5.987277221679687500e+02	5.081615295410156250e+02	5.093696975708007812e+01	9.400209045410156250e+01	1.461800231933593750e+02	8.215811157226562500e+01	4.423805236816406250e+01	2.027939910888671875e+02	9.667827606201171875e+01	2.455899963378906250e+02
5.823621826171875000e+02	5.096469726562500000e+02	4.795059967041015625e+01	8.428996276855468750e+01	1.364221343994140625e+02	7.760692596435546875e+01	3.998136901855468750e+01	1.940255432128906250e+02	9.473513793945312500e+01	2.421300048828125000e+02
6.000150146484375000e+02	5.215122680664062500e+02	5.128372573852539062e+01	8.696176147460937500e+01	1.463039550781250000e+02	7.856385040283203125e+01	4.115657043457031250e+01	2.012501678466796875e+02	9.583338928222656250e+01	2.585599975585937500e+02
5.923979492187500000e+02	5.074133300781250000e+02	5.199115753173828125e+01	9.029576110839843750e+01	1.483560180664062500e+02	8.264224243164062500e+01	4.287557220458984375e+01	2.021557922363281250e+02	9.765364074707031250e+01	2.632699890136718750e+02
5.577122802734375000e+02	4.682217712402343750e+02	4.962973403930664062e+01	9.272679901123046875e+01	1.454472656250000000e+02	8.123966979980468750e+01	4.158383560180664062e+01	1.930596313476562500e+02	9.765177917480468750e+01	2.881400146484375000e+02
5.545399780273437500e+02	4.754700012207031250e+02	4.875999832153320312e+01	8.050000000000000000e+01	1.404700012207031250e+02	8.183000183105468750e+01	4.129999923706054688e+01	1.910299987792968750e+02	9.805081939697265625e+01	3.037699890136718750e+02
5.893900146484375000e+02	5.191099853515625000e+02	5.095999908447265625e+01	8.152999877929687500e+01	1.326399993896484375e+02	8.283000183105468750e+01	4.172999954223632812e+01	1.979299926757812500e+02	9.746002960205078125e+01	3.036000061035156250e+02
5.991400146484375000e+02	5.299199829101562500e+02	5.127999877929687500e+01	8.341000366210937500e+01	1.343800048828125000e+02	8.169000244140625000e+01	4.188000106811523438e+01	2.004499969482421875e+02	9.727999877929687500e+01	3.051799926757812500e+02
